time_ms,case1,case2,case3a,case3b
22.800,608118.108,97806.548,1691.161,-66.701
22.900,613463.184,97476.509,1783.357,167.741
23.000,618785.762,97128.600,1849.091,376.571
23.100,624085.096,96762.905,1887.236,557.526
23.200,629360.449,96379.512,1896.923,708.609
23.300,634611.103,95978.519,1877.548,828.102
23.400,639836.347,95560.031,1828.771,914.581
23.500,645035.489,95124.161,1750.517,966.925
23.600,650207.847,94671.028,1642.977,984.319
23.700,655352.753,94200.759,1506.598,966.262
23.800,660469.554,93713.488,1342.080,912.566
23.900,665557.609,93209.354,1150.366,823.353
24.000,670616.291,92688.503,932.631,699.055
24.100,675644.988,92151.088,690.270,540.403
24.200,680643.099,91597.267,424.883,348.418
24.300,685610.039,91027.204,138.258,124.400
24.400,690545.236,90441.069,-167.643,-130.087
24.500,695448.129,89839.035,-490.710,-413.229
24.600,700318.174,89221.283,-828.696,-722.980
24.700,705154.839,88587.998,-1179.245,-1057.081
24.800,709957.605,87939.369,-1539.912,-1413.079
24.900,714725.965,87275.589,-1908.182,-1788.350
25.000,719459.429,86596.856,-2281.495,-2180.124
25.100,724157.517,85903.373,-2657.271,-2585.508
25.200,728819.763,85195.345,-3032.928,-3001.512
25.300,733445.713,84472.982,-3405.907,-3425.079
25.400,738034.927,83736.496,-3773.692,-3853.111
25.500,742586.977,82986.104,-4133.837,-4282.499
25.600,747101.448,82222.026,-4483.978,-4710.150
25.700,751577.937,81444.482,-4821.858,-5133.009
25.800,756016.054,80653.698,-5145.346,-5548.090
25.900,760415.420,79849.902,-5452.450,-5952.496
26.000,764775.669,79033.322,-5741.336,-6343.447
26.100,769096.447,78204.190,-6010.341,-6718.295
26.200,773377.411,77362.739,-6257.987,-7074.552
26.300,777618.229,76509.206,-6482.989,-7409.902
26.400,781818.583,75643.827,-6684.267,-7722.222
26.500,785978.162,74766.840,-6860.949,-8009.596
26.600,790096.671,73878.485,-7012.383,-8270.326
26.700,794173.822,72979.002,-7138.134,-8502.946
26.800,798209.340,72068.633,-7237.988,-8706.229
26.900,802202.959,71147.620,-7311.952,-8879.192
27.000,806154.424,70216.207,-7360.249,-9021.103
27.100,810063.490,69274.635,-7383.318,-9131.482
27.200,813929.923,68323.150,-7381.804,-9210.101
27.300,817753.497,67361.994,-7356.552,-9256.983
27.400,821533.997,66391.412,-7308.596,-9272.395
27.500,825271.217,65411.647,-7239.151,-9256.848
27.600,828964.959,64422.942,-7149.598,-9211.089
27.700,832615.037,63425.541,-7041.471,-9136.094
27.800,836221.271,62419.685,-6916.443,-9033.063
27.900,839783.491,61405.616,-6776.307,-8903.401
28.000,843301.534,60383.575,-6622.964,-8748.709
28.100,846775.247,59353.803,-6458.402,-8570.771
28.200,850204.484,58316.538,-6284.677,-8371.537
28.300,853589.107,57272.017,-6103.900,-8153.114
28.400,856928.988,56220.479,-5918.210,-7917.742
28.500,860224.017,55162.173,-5729.748,-7667.767
28.600,863474.111,54097.365,-5540.632,-7405.613
28.700,866679.216,53026.340,-5352.936,-7133.760
28.800,869839.302,51949.401,-5168.674,-6854.727
28.900,872954.367,50866.865,-4989.782,-6571.046
29.000,876024.436,49779.067,-4818.103,-6285.246
29.100,879049.559,48686.355,-4655.374,-5999.830
29.200,882029.811,47589.092,-4503.210,-5717.255
29.300,884965.293,46487.652,-4363.092,-5439.912
29.400,887856.132,45382.419,-4236.358,-5170.108
29.500,890702.477,44273.788,-4124.189,-4910.047
29.600,893504.503,43162.163,-4027.607,-4661.813
29.700,896262.407,42047.954,-3947.464,-4427.353
29.800,898976.411,40931.579,-3884.438,-4208.462
29.900,901646.757,39813.460,-3839.030,-4006.774
30.000,904273.710,38694.022,-3811.561,-3823.742
30.100,906857.556,37573.695,-3802.172,-3660.634
30.200,909398.600,36452.909,-3810.828,-3518.523
30.300,911897.170,35332.097,-3837.316,-3398.278
30.400,914353.611,34211.691,-3881.253,-3300.559
30.500,916768.286,33092.121,-3942.091,-3225.815
30.600,919141.578,31973.818,-4019.121,-3174.283
30.700,921473.885,30857.209,-4111.487,-3145.984
30.800,923765.623,29742.717,-4218.191,-3140.729
30.900,926017.222,28630.764,-4338.106,-3158.122
31.000,928229.128,27521.765,-4469.986,-3197.563
31.100,930401.802,26416.132,-4612.481,-3258.256
31.200,932535.716,25314.270,-4764.148,-3339.217
31.300,934631.357,24216.578,-4923.466,-3439.287
31.400,936689.224,23123.451,-5088.851,-3557.140
31.500,938709.826,22035.275,-5258.672,-3691.298
31.600,940693.684,20952.429,-5431.260,-3840.146
31.700,942641.326,19875.285,-5604.934,-4001.945
31.800,944553.294,18804.207,-5778.005,-4174.849
31.900,946430.134,17739.551,-5948.800,-4356.923
32.000,948272.403,16681.666,-6115.671,-4546.157
32.100,950080.663,15630.890,-6277.012,-4740.489
32.200,951855.484,14587.553,-6431.274,-4937.818
32.300,953597.440,13551.978,-6576.974,-5136.026
32.400,955307.113,12524.477,-6712.714,-5332.995
32.500,956985.088,11505.354,-6837.184,-5526.626
32.600,958631.953,10494.903,-6949.183,-5714.857
32.700,960248.301,9493.409,-7047.619,-5895.682
32.800,961834.727,8501.149,-7131.524,-6067.165
32.900,963391.830,7518.388,-7200.059,-6227.460
33.000,964920.208,6545.383,-7252.522,-6374.824
33.100,966420.463,5582.381,-7288.348,-6507.631
33.200,967893.195,4629.622,-7307.120,-6624.386
33.300,969339.005,3687.334,-7308.566,-6723.737
33.400,970758.496,2755.734,-7292.562,-6804.489
33.500,972152.268,1835.035,-7259.130,-6865.606
33.600,973520.919,925.436,-7208.441,-6906.228
33.700,974865.047,27.127,-7140.807,-6925.670
33.800,976185.249,-859.708,-7056.680,-6923.431
33.900,977482.116,-1734.897,-6956.647,-6899.195
34.000,978756.239,-2598.276,-6841.422,-6852.833
34.100,980008.205,-3449.692,-6711.839,-6784.405
34.200,981238.597,-4288.997,-6568.845,-6694.160
34.300,982447.994,-5116.055,-6413.492,-6582.532
34.400,983636.971,-5930.738,-6246.922,-6450.134
34.500,984806.099,-6732.927,-6070.362,-6297.750
34.600,985955.942,-7522.510,-5885.109,-6126.332
34.700,987087.062,-8299.385,-5692.519,-5936.985
34.800,988200.012,-9063.458,-5493.998,-5730.964
34.900,989295.342,-9814.643,-5290.985,-5509.655
35.000,990373.594,-10552.863,-5084.939,-5274.567
35.100,991435.305,-11278.046,-4877.333,-5027.318
35.200,992481.005,-11990.131,-4669.635,-4769.619
35.300,993511.217,-12689.064,-4463.296,-4503.260
35.400,994526.458,-13374.798,-4259.740,-4230.097
35.500,995527.237,-14047.293,-4060.354,-3952.031
35.600,996514.057,-14706.517,-3866.470,-3670.996
35.700,997487.411,-15352.446,-3679.360,-3388.940
35.800,998447.787,-15985.061,-3500.225,-3107.809
35.900,999395.664,-16604.352,-3330.183,-2829.532
36.000,1000331.514,-17210.315,-3170.262,-2556.004
36.100,1001255.799,-17802.950,-3021.393,-2289.070
36.200,1002168.976,-18382.268,-2884.401,-2030.510
36.300,1003071.491,-18948.284,-2760.001,-1782.025
36.400,1003963.782,-19501.018,-2648.793,-1545.222
36.500,1004846.281,-20040.498,-2551.257,-1321.604
36.600,1005719.409,-20566.756,-2467.751,-1112.554
36.700,1006583.580,-21079.833,-2398.509,-919.326
36.800,1007439.198,-21579.771,-2343.642,-743.037
36.900,1008286.659,-22066.621,-2303.135,-584.658
37.000,1009126.350,-22540.438,-2276.853,-445.002
